algorithm,metric,mean,std,median,n
RDHO,fitness,0.9470392278303288,0.12019325475607968,0.95281226654749451,30
RDHO,csr,0.7205555555555556,0.05469934076338502,0.71666666666666667,30
RIME,fitness,1.5847950082273574,0.15413381450734495,1.6259366831372986,30
RIME,csr,0.5133333333333334,0.05300365056465524,0.51249999999999996,30
DBO,fitness,1.1836517627101044,0.19049985271865905,1.1535313579644273,30
DBO,csr,0.6286111111111111,0.06991659417109297,0.6333333333333333,30
TLBO-HHO,fitness,1.2263048231318803,0.20100882539705814,1.2125955841504235,30
TLBO-HHO,csr,0.5988888888888889,0.0716102870097545,0.60833333333333328,30
CWTSSA,fitness,1.2473242356211496,0.15131440808539953,1.2753130445673224,30
CWTSSA,csr,0.5883333333333333,0.056756183520530086,0.59166666666666667,30
Greedy-ED,fitness,1.0932457434014435,0.17031197368119053,1.087996509875506,30
Greedy-ED,csr,0.6480555555555557,0.06215646326751486,0.64166666666666672,30
