experiment,scenario_seed,method,total_nfe,population_nfe,initial_nfe,candidate_nfe,refinement_nfe,final_reporting_nfe,final_generation_candidate_count
controlled_common_pipeline,20260701,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260701,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260701,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260702,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260702,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260702,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260703,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260703,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260703,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260704,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260704,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260704,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260705,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260705,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260705,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260706,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260706,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260706,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260707,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260707,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260707,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260708,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260708,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260708,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260709,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260709,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260709,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260710,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260710,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260710,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260711,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260711,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260711,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260712,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260712,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260712,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260713,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260713,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260713,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260714,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260714,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260714,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260715,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260715,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260715,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260716,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260716,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260716,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260717,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260717,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260717,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260718,RDHO-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260718,RIME-common-pipeline,10232,9232,50,9181,1000,1,31
controlled_common_pipeline,20260718,DBO-common-pipeline,10232,9232,50,9181,1000,1,31
