run_id,seed,algorithm,fitness,energy,delay,aoi,qoe,fairness,csr,runtime,experiment,setting,description,weights,w_energy,w_delay,w_aoi,w_qoe,w_fairness
1,20260701,RDHO,1.0446757135753888,101.1670804504885,1.6390934442875782,1.947035040319814,0.3235339195513923,0.9150318894877916,0.6583333333333333,4.83129659993574,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
2,20260702,RDHO,1.1438881020789564,83.38901229376171,1.9845759320500664,2.3234574566015973,0.3066236809024806,0.8789248767305731,0.6416666666666667,4.9136161003261805,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
3,20260703,RDHO,0.8325582350792786,72.80048080635004,1.5297883060714752,1.8872562568272224,0.34956511082243,0.8986446972980536,0.7666666666666667,4.852629800327122,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
4,20260704,RDHO,0.9834965082764512,76.59205725426062,1.685118065189167,2.007722729500886,0.3414152605404727,0.8932379206105416,0.6916666666666667,5.16328820027411,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
5,20260705,RDHO,1.062268103982883,114.13932953246412,1.8517731183952024,2.172576169055163,0.2975181496924313,0.883475610363691,0.6833333333333333,4.712808500044048,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
6,20260706,RDHO,0.8881636013405995,87.40239555187205,1.4466754470535943,1.7488912882231733,0.3278776308017838,0.9174511421088752,0.7416666666666667,4.66824909998104,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
7,20260707,RDHO,0.914740705540313,75.73966176489226,1.3355777377583002,1.654560957288235,0.3377780315432497,0.9207352128617552,0.725,4.749624399933964,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
8,20260708,RDHO,0.971638570910573,70.0227313312558,1.6425300555945823,1.93203818046493,0.3293997746025977,0.9012537432197982,0.6916666666666667,4.652786999940872,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
9,20260709,RDHO,1.159564650025488,131.78991544183606,1.895193776939112,2.2043701000377034,0.2800771247320313,0.8823735481777818,0.6333333333333333,4.694753599818796,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
10,20260710,RDHO,0.9508236945004848,82.46873672229759,1.9139758845522976,2.287204518566421,0.3329403761065333,0.9103672561248444,0.7166666666666667,5.004587300121784,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
11,20260711,RDHO,1.088312290047836,102.42163764343732,1.7481610502368254,2.0600729415538743,0.3133818417644523,0.908862996332762,0.625,4.966862400062382,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
12,20260712,RDHO,0.922821405119746,80.91500192649718,1.798451117845688,2.182763730451849,0.3440216795203281,0.908035068217196,0.7416666666666667,4.990098800044507,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
13,20260713,RDHO,0.896712046895456,55.53136743370658,1.4124279733890197,1.687221928543429,0.3464294360958614,0.9162618357338064,0.7083333333333334,5.240155499894172,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
14,20260714,RDHO,0.9016151201342766,63.93620903523493,1.66402253191247,2.0084608542761178,0.3591641790766852,0.9031031046367936,0.7166666666666667,4.59962740028277,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
15,20260715,RDHO,0.8984573198454218,83.77690085499023,1.669969426664668,2.02432197696362,0.3353514253302582,0.9075320677878704,0.75,5.093925700057298,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
16,20260716,RDHO,0.9507223078620766,100.1933365521316,1.517155120006732,1.8373618534779,0.3178013542047054,0.9073632200182432,0.7166666666666667,5.063390699680895,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
17,20260717,RDHO,0.9888455368318766,64.34057259479269,1.8286057689505024,2.152193057505292,0.3230810375988858,0.9019065135917332,0.7,4.580281500238925,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
18,20260718,RDHO,0.9135161204788316,91.78371252157486,1.5696545221830178,1.8974553634615028,0.3314141944597494,0.903410052203619,0.725,5.061942600179464,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
19,20260719,RDHO,0.9315386810976218,71.69411876136917,1.6166260985550074,1.9400065650753835,0.3395123919142916,0.8870157115278171,0.7166666666666667,4.835375799797475,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
20,20260720,RDHO,0.8593828919580927,105.30479079745297,1.4839324081429537,1.8183554044124195,0.3385543656669689,0.8938701071545431,0.775,4.773778000380844,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
21,20260721,RDHO,0.9530603315703032,81.1140053912325,1.4657831056656403,1.799468387453554,0.3379007304763435,0.9016390598381232,0.7166666666666667,4.872319899965078,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
22,20260722,RDHO,1.028372364606561,87.36423443928437,1.7458551397572166,2.0691159031767894,0.2968760832034954,0.9200400335176626,0.675,5.064163099974394,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
23,20260723,RDHO,1.1593396717650966,86.08306600521448,1.773909858614322,2.051217240542545,0.29689430778603,0.8846215239930043,0.5916666666666667,4.663774100132287,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
24,20260724,RDHO,0.8873584105945771,86.99570386437466,1.5660315072623054,1.8828029601717573,0.3576507407144594,0.8837059904089897,0.75,5.166398199740797,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
25,20260725,RDHO,0.9627256599167988,122.58204972547912,1.4995681454308722,1.8078776180335323,0.3369315130872644,0.8972235325914303,0.7083333333333334,5.381436299998313,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
26,20260726,RDHO,0.9906144722062654,92.8611930191509,1.414701231181532,1.6830881299812042,0.321089677770198,0.8958331567934925,0.7083333333333334,4.8131833001971245,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
27,20260727,RDHO,1.0015950690224842,76.79922157297554,1.7804312994848928,2.1334671820682347,0.3167796585111519,0.9033366127531072,0.7083333333333334,5.211002300027758,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
28,20260728,RDHO,0.9467644691546352,86.39330754517457,1.69318265770085,2.00222789073872,0.32264377203169,0.8854628131756055,0.7416666666666667,4.846750300377607,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
29,20260729,RDHO,1.0910782207973888,79.99325570948707,1.3191422514626998,1.5494163862390165,0.3120858039878683,0.8742213965689851,0.625,4.879600000102073,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
30,20260730,RDHO,0.8760054346582096,78.38449126460682,1.5523436144835787,1.8570790678157465,0.3452243043846226,0.9142297286591948,0.7416666666666667,5.002392300404608,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
1,20260701,RDHO,1.103411233413487,97.69903636558362,1.6841853595660432,1.9921269555982792,0.323023390401105,0.9157985479592607,0.6583333333333333,4.986031599808484,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
2,20260702,RDHO,1.2068536511687828,80.80602725535543,2.0154249634558448,2.354306488007376,0.3064280201933294,0.878658297774226,0.6416666666666667,4.914464799687266,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
3,20260703,RDHO,0.8720973480917283,70.01123680624013,1.553649579762784,1.9111175305185304,0.3493441677278616,0.898846451704706,0.7666666666666667,4.866572400089353,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
4,20260704,RDHO,1.0312375377677778,72.8043255586501,1.7072119449111869,2.0298166092229057,0.3411594938131985,0.8931740302895407,0.6916666666666667,4.517504299990833,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
5,20260705,RDHO,1.120960117006759,111.68680781426627,1.868011556957277,2.1888146076172377,0.2973116029972774,0.8835008278713211,0.6833333333333333,4.802107700146735,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
6,20260706,RDHO,0.9346778909328226,86.1027940791769,1.457893776499564,1.7601096176691429,0.3277041607770508,0.917522368943912,0.7416666666666667,4.7589738997630775,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
7,20260707,RDHO,0.9590708580909282,71.47003213762977,1.375788157187302,1.6947713767172363,0.3374343566023513,0.9204555450722904,0.725,4.835066600237042,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
8,20260708,RDHO,1.0196326329335053,67.59781474692164,1.6636521659014891,1.9531602907718368,0.329259759245223,0.9013114763554744,0.6916666666666667,4.801568999886513,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
9,20260709,RDHO,1.2247630462777708,123.77205821923206,1.939786796677847,2.24896311977644,0.2797692803258954,0.8816910740584589,0.6333333333333333,4.788721399847418,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
10,20260710,RDHO,1.0027141058027749,80.72690574643552,1.9363177757052576,2.3095464097193803,0.3315586516031267,0.9110237454327936,0.7166666666666667,4.743228800129145,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
