task_number,run_id,seed,scenario_id,replicate_id,scenario_seed,algorithm_seed,algorithm,fitness,reported_fitness,base_fitness,search_fitness,penalty_scale,report_penalty_scale,search_penalty,report_penalty,energy_norm,delay_norm,aoi_norm,energy,delay,aoi,qoe,fairness,csr,nfe_used,max_evaluations,runtime
20,1,684064704,1,1,684064704,1921995125,RDHO,0.9744278662983175,0.9744278662983175,0.6744278662983174,3.3744278662983174,9.0,1.0,2.7,0.30000000000000004,0.7795045922468862,1.0631846644423555,1.0456133170843647,45.90828300441919,1.4801468546072933,1.7897855827904454,0.3450330103519658,0.899359732135801,0.7,15031,15050,4.593505799770355
20,2,686312795,2,1,686312795,1924243216,RDHO,0.8294061566616704,0.8294061566616704,0.6127394899950037,2.562739489995004,9.0,1.0,1.9500000000000002,0.21666666666666667,0.6997601272265216,0.9672842746263098,0.8677465540068304,40.816163294579724,1.9433044918371034,2.321606598370697,0.3282741986504176,0.9151917256867309,0.7833333333333333,15031,15050,4.634507500100881
20,3,688560886,3,1,688560886,1926491307,RDHO,0.9344160683264319,0.9344160683264319,0.6510827349930985,3.2010827349930984,9.0,1.0,2.55,0.2833333333333333,0.4924468685803878,1.1831735434269692,1.0325075107329018,33.38342598780926,1.7173301753087835,2.007751523609144,0.3340383085579228,0.8930090072604189,0.7166666666666667,15031,15050,4.709385300055146
20,4,690808977,4,1,690808977,1928739398,RDHO,0.9486940729201374,0.9486940729201374,0.6486940729201374,3.3486940729201375,9.0,1.0,2.7,0.30000000000000004,0.6086305306973578,1.058804574384236,1.048235890836835,41.13415588348996,1.4968783725714139,1.8209254901373122,0.33572400601692653,0.9085494780209487,0.7,15031,15050,4.567329700104892
20,5,693057068,5,1,693057068,1930987489,RDHO,0.7038114202246339,0.7038114202246339,0.5204780868913006,2.1704780868913005,9.0,1.0,1.6500000000000001,0.18333333333333335,0.5236842643770034,0.7076537606600856,0.7769170400258413,30.84056699337718,1.3890525259311857,1.7524793225141706,0.34938920439058135,0.929034895087143,0.8166666666666667,15031,15050,4.677543600089848
20,6,695305159,6,1,695305159,1933235580,RDHO,0.8145497517682556,0.8145497517682556,0.6312164184349223,2.2812164184349224,9.0,1.0,1.6500000000000001,0.18333333333333335,0.7071861893632279,0.9480121129774105,0.9950729980966171,38.999420362471916,1.5998800607321821,2.0006153507824567,0.3569315785051147,0.9073801276368727,0.8166666666666667,15031,15050,4.623562499880791
20,7,697553250,7,1,697553250,1935483671,RDHO,0.913817704133621,0.913817704133621,0.6304843708002876,3.1804843708002872,9.0,1.0,2.55,0.2833333333333333,0.8334324998283223,0.8491861100212507,0.9667368926865052,55.38439388795871,1.323786122071636,1.6290096360152961,0.334960798434236,0.9260623984235618,0.7166666666666667,15031,15050,4.5404234998859465
20,8,699801341,8,1,699801341,1937731762,RDHO,0.7899946496061603,0.7899946496061603,0.5899946496061603,2.3899946496061597,9.0,1.0,1.7999999999999996,0.19999999999999996,0.6210297045821751,0.8039062835606291,0.9311453604330925,38.10112744977192,1.6439176595566498,1.9993240811859745,0.34360944438231256,0.8962898384252023,0.8,15031,15050,4.610247300006449
20,9,702049432,9,1,702049432,1939979853,RDHO,0.9274817550440054,0.9274817550440054,0.6608150883773387,3.060815088377339,9.0,1.0,2.4000000000000004,0.2666666666666667,0.9878282399510603,0.8184003852583531,0.9438978501909616,64.19576156009327,1.3412393061267667,1.6617024520916441,0.31140959552970027,0.8841855062393618,0.7333333333333333,15031,15050,4.638696300331503
20,10,3782276182,10,1,3782276182,2742404085,RDHO,1.1465685424237773,1.1465685424237773,0.7632352090904441,4.213235209090444,9.0,1.0,3.4499999999999997,0.3833333333333333,1.1355913642232802,1.1253502616039113,1.1047957608822725,56.16898208821189,1.4628206705077413,1.7302163917948636,0.3035824563448845,0.8838782914954723,0.6166666666666667,15031,15050,5.288379800040275
40,1,684064704,1,1,684064704,1921995125,RDHO,1.09636215393266,1.09636215393266,0.7546954872659932,3.8296954872659934,9.0,1.0,3.075,0.3416666666666667,0.7925281554135479,1.3083038881900786,1.1964046256892158,94.42249694867996,1.7754426459004566,2.0882452529522326,0.3162294245814834,0.8826115530680927,0.6583333333333333,15011,15050,8.380341300275177
40,2,686312795,2,1,686312795,1924243216,RDHO,0.9583954939202929,0.9583954939202929,0.6833954939202929,3.1583954939202927,9.0,1.0,2.475,0.275,0.6369931223203116,1.1352580990237715,1.0866612692352997,70.97110303607246,1.789534754782748,2.126024222411496,0.31947801086202215,0.8796197616514958,0.725,15011,15050,7.9011429999955
40,3,688560886,3,1,688560886,1926491307,RDHO,0.8838746113219561,0.8838746113219561,0.6172079446552894,3.01720794465529,9.0,1.0,2.4000000000000004,0.2666666666666667,0.6738796982789305,0.9148198608281775,0.9747475116312347,90.70565319032383,1.556084159734223,1.8699132416627062,0.34360277653344173,0.9205831896146536,0.7333333333333333,15011,15050,7.851528100203723
40,4,690808977,4,1,690808977,1928739398,RDHO,1.1346665800192088,1.1346665800192088,0.7346665800192087,4.334666580019209,9.0,1.0,3.6,0.4,0.8188259598997851,1.2038802252066423,1.163604493831785,84.01978243477582,2.0006779199090623,2.3525794711411927,0.31201097892976404,0.8938300071226861,0.6,15011,15050,7.7723041996359825
40,5,693057068,5,1,693057068,1930987489,RDHO,0.7396727147479525,0.7396727147479525,0.5480060480812858,2.2730060480812857,9.0,1.0,1.7249999999999999,0.19166666666666665,0.5803813364114072,0.7544800377580715,0.8478477045737431,69.30742496717218,1.5035387887438998,1.8748569383757085,0.35539061507373587,0.9317801807618026,0.8083333333333333,15011,15050,7.621839199680835
