task_id,source_device,task_type,input_data_mb,cpu_cycles_gcycles,max_delay_s,aoi_threshold_s,energy_budget_j,battery_ratio,priority,update_interval_s
0,2,compute_intensive,30.516995,2.393705,2.858095,2.098266,3.096297,0.734157,0.666454,0.754306
1,9,realtime_sensitive,5.211595,0.784355,0.424152,0.638767,2.892471,0.844699,0.960894,0.217861
2,16,data_intensive,69.299261,1.86939,4.387678,4.471082,4.629083,0.457918,0.764402,1.3875
3,18,realtime_sensitive,2.932377,0.672171,0.885679,0.756197,1.79301,0.726369,0.887904,0.118322
4,8,realtime_sensitive,6.297428,1.794206,0.466372,0.659817,1.581166,0.998409,0.961633,0.261849
5,18,compute_intensive,19.947492,2.700936,2.56959,2.138489,2.941488,0.956286,0.89229,0.689046
6,4,data_intensive,75.128438,1.830909,4.414093,4.986415,2.099954,0.627081,0.744093,1.136257
7,16,lightweight,3.14293,0.79453,1.864135,1.784378,1.484037,0.604551,0.688172,0.308037
8,1,realtime_sensitive,14.65018,1.119626,0.3758,0.829501,3.256025,0.783147,0.982832,0.22806
9,11,compute_intensive,11.102745,2.741489,2.064527,2.380117,4.101263,0.955762,0.661268,0.55695
10,10,realtime_sensitive,3.523996,0.847758,0.448484,0.529232,3.411733,0.872486,0.86071,0.163451
11,14,realtime_sensitive,3.120729,1.039022,0.862308,0.759379,3.357923,0.890395,0.991982,0.239206
12,1,data_intensive,44.042401,1.669934,2.54046,4.744635,4.837653,0.801293,0.584491,1.496184
13,1,lightweight,2.184893,0.123886,1.670987,1.679872,1.719572,0.510642,0.642724,0.463204
14,13,realtime_sensitive,7.217587,1.392482,0.954974,0.727196,2.667008,0.798788,0.822463,0.124139
15,7,compute_intensive,14.760223,3.534905,1.807175,2.923257,4.068504,0.776475,0.661086,0.878161
16,8,realtime_sensitive,9.645232,0.996835,0.56701,0.700145,1.619776,0.856584,0.855794,0.28922
17,11,realtime_sensitive,7.395291,1.539818,0.386434,0.726231,1.295692,0.754436,0.844261,0.188262
18,8,data_intensive,88.530846,1.315738,2.521207,4.275254,4.75333,0.794537,0.7842,1.369401
19,8,realtime_sensitive,10.507634,1.711321,0.380537,0.864943,2.287281,0.967848,0.938505,0.110696
20,14,compute_intensive,33.536321,3.239966,2.147858,2.312849,3.963525,0.776341,0.73687,0.990419
21,9,compute_intensive,20.45313,2.11319,1.953944,2.57663,4.858741,0.467804,0.617287,0.690829
22,8,lightweight,4.531629,0.137981,0.872912,1.271703,1.901082,0.822611,0.535578,0.442955
23,14,compute_intensive,27.764864,2.362892,2.248811,2.759557,2.932138,0.782486,0.733516,0.534642
24,6,data_intensive,47.204703,1.508558,2.502882,3.530223,2.491118,0.638581,0.735116,1.007486
25,9,compute_intensive,24.853219,3.888121,2.717471,2.074187,4.086697,0.966758,0.841681,0.800418
26,13,realtime_sensitive,7.615797,1.064873,0.910677,0.780073,1.017699,0.703988,0.94065,0.102531
27,2,compute_intensive,14.744031,4.050348,2.54335,2.330155,5.446919,0.46923,0.816197,0.525768
28,2,compute_intensive,10.548245,3.863922,1.729911,2.338703,2.996221,0.665284,0.638483,0.700837
29,11,realtime_sensitive,2.024325,1.729725,0.794038,0.608163,1.397334,0.626661,0.817914,0.131325
30,13,compute_intensive,21.234809,4.256047,2.548569,2.468451,5.808886,0.968361,0.770931,0.767388
31,18,lightweight,1.284724,0.702049,1.320176,1.905443,0.824603,0.756394,0.608146,0.571586
32,17,lightweight,4.866904,0.371336,1.764957,1.740914,0.545924,0.897284,0.402104,0.429219
33,14,data_intensive,76.805338,1.708329,2.968012,3.631835,3.202098,0.730848,0.655424,1.009983
34,10,realtime_sensitive,5.953283,0.774628,0.505994,0.84138,1.05688,0.619238,0.805742,0.238857
35,14,data_intensive,74.341096,1.912364,4.363918,4.660798,3.466311,0.81942,0.681198,1.265441
36,7,data_intensive,43.659568,1.266624,3.763558,4.643579,3.213875,0.902237,0.657338,1.388385
37,1,lightweight,0.820464,0.220883,1.43258,1.563649,0.921473,0.795565,0.599261,0.565355
38,1,compute_intensive,23.948737,3.285968,2.59686,2.823005,2.598516,0.765334,0.772246,0.910505
39,4,data_intensive,35.151637,1.08036,4.048463,3.659709,3.040166,0.642854,0.676972,0.970167
