setting,comparison,reference_algorithm,comparison_algorithm,metric,paired_key,inference_tier,equal_budget,n_pairs,wins,ties,losses,zero_tolerance,statistic,raw_p_value,median_difference,mean_difference,mean_difference_ci_low,mean_difference_ci_high,rank_biserial,better_algorithm,adjusted_p_value,holm_family_size,significant
S1,RDHO vs RIME,RDHO,RIME,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.4509526863043497,-0.46350207306799185,-0.5089856449448659,-0.4192641979611477,-1.0,RDHO,1.30385160446167e-08,7,True
S1,RDHO vs DBO,RDHO,DBO,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.06005150285844901,-0.07270414964679021,-0.08863790521871624,-0.05751810726174147,-1.0,RDHO,1.30385160446167e-08,7,True
S1,RDHO vs TLBO-HHO,RDHO,TLBO-HHO,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.09719109109778035,-0.10316766351658604,-0.11602738583583831,-0.09061667234754144,-1.0,RDHO,1.30385160446167e-08,7,True
S1,RDHO vs CWTSSA,RDHO,CWTSSA,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.06827213141129063,-0.07154046551802504,-0.08100660899343243,-0.06300671918435165,-1.0,RDHO,1.30385160446167e-08,7,True
S1,RDHO vs GA,RDHO,GA,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.06822091170745936,-0.0962072513794001,-0.11917097100415709,-0.07517077025428155,-1.0,RDHO,1.30385160446167e-08,7,True
S1,RDHO vs PSO,RDHO,PSO,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.4571960749356136,-0.46990095289863215,-0.514831534153075,-0.4271183175085189,-1.0,RDHO,1.30385160446167e-08,7,True
S1,RDHO vs DE,RDHO,DE,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.035300380367717044,-0.03588185795518773,-0.04009825207440871,-0.031698546404477924,-1.0,RDHO,1.30385160446167e-08,7,True
S2,RDHO vs RIME,RDHO,RIME,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.5047606322318902,-0.5433835360272445,-0.6098158657086611,-0.4810415406339204,-1.0,RDHO,1.30385160446167e-08,7,True
S2,RDHO vs DBO,RDHO,DBO,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.05514223945622698,-0.06289922871814117,-0.07886740692104838,-0.04861434368386036,-1.0,RDHO,1.30385160446167e-08,7,True
S2,RDHO vs TLBO-HHO,RDHO,TLBO-HHO,fitness,scenario_id + replicate_id,primary_equal_budget,True,30,30,0,0,1e-12,0.0,1.862645149230957e-09,-0.09780461182488065,-0.10098559082654397,-0.11256802983217752,-0.08933209797132276,-1.0,RDHO,1.30385160446167e-08,7,True
