setting,algorithm,mean_rank,rank_order,n_paired_scenarios,metric,paired_key
S1,RDHO,1.0,1,30,fitness,scenario_id + replicate_id
S1,RIME,7.4,7,30,fitness,scenario_id + replicate_id
S1,DBO,4.0,4,30,fitness,scenario_id + replicate_id
S1,TLBO-HHO,5.2,6,30,fitness,scenario_id + replicate_id
S1,CWTSSA,3.933333333333333,3,30,fitness,scenario_id + replicate_id
S1,GA,4.566666666666666,5,30,fitness,scenario_id + replicate_id
S1,PSO,7.6,8,30,fitness,scenario_id + replicate_id
S1,DE,2.3,2,30,fitness,scenario_id + replicate_id
S2,RDHO,1.0,1,30,fitness,scenario_id + replicate_id
S2,RIME,7.533333333333333,8,30,fitness,scenario_id + replicate_id
S2,DBO,3.1666666666666665,3,30,fitness,scenario_id + replicate_id
S2,TLBO-HHO,5.033333333333333,6,30,fitness,scenario_id + replicate_id
S2,CWTSSA,4.366666666666666,4,30,fitness,scenario_id + replicate_id
S2,GA,4.7,5,30,fitness,scenario_id + replicate_id
S2,PSO,7.466666666666667,7,30,fitness,scenario_id + replicate_id
S2,DE,2.7333333333333334,2,30,fitness,scenario_id + replicate_id
S3,RDHO,1.0,1,30,fitness,scenario_id + replicate_id
S3,RIME,7.566666666666666,8,30,fitness,scenario_id + replicate_id
S3,DBO,3.4,3,30,fitness,scenario_id + replicate_id
S3,TLBO-HHO,5.066666666666666,5,30,fitness,scenario_id + replicate_id
S3,CWTSSA,4.0,4,30,fitness,scenario_id + replicate_id
S3,GA,5.066666666666666,5,30,fitness,scenario_id + replicate_id
S3,PSO,7.433333333333334,7,30,fitness,scenario_id + replicate_id
S3,DE,2.466666666666667,2,30,fitness,scenario_id + replicate_id
S4,RDHO,1.0,1,30,fitness,scenario_id + replicate_id
S4,RIME,7.533333333333333,8,30,fitness,scenario_id + replicate_id
S4,DBO,3.7333333333333334,3,30,fitness,scenario_id + replicate_id
S4,TLBO-HHO,5.133333333333334,6,30,fitness,scenario_id + replicate_id
S4,CWTSSA,3.966666666666667,4,30,fitness,scenario_id + replicate_id
S4,GA,4.766666666666667,5,30,fitness,scenario_id + replicate_id
S4,PSO,7.466666666666667,7,30,fitness,scenario_id + replicate_id
S4,DE,2.4,2,30,fitness,scenario_id + replicate_id
S5,RDHO,1.0,1,30,fitness,scenario_id + replicate_id
S5,RIME,7.466666666666667,7,30,fitness,scenario_id + replicate_id
S5,DBO,3.7333333333333334,3,30,fitness,scenario_id + replicate_id
S5,TLBO-HHO,5.366666666666666,6,30,fitness,scenario_id + replicate_id
S5,CWTSSA,4.033333333333333,4,30,fitness,scenario_id + replicate_id
S5,GA,4.3,5,30,fitness,scenario_id + replicate_id
S5,PSO,7.533333333333333,8,30,fitness,scenario_id + replicate_id
S5,DE,2.566666666666667,2,30,fitness,scenario_id + replicate_id
