task_id,source_device,task_type,input_data_mb,cpu_cycles_gcycles,max_delay_s,aoi_threshold_s,energy_budget_j,battery_ratio,priority,update_interval_s
0,0,lightweight,3.977729,0.635354,0.920011,1.648912,1.132961,0.617293,0.450772,0.404378
1,18,lightweight,3.769477,0.666074,1.723106,1.281238,0.79354,0.563474,0.657593,0.468585
2,8,compute_intensive,26.461037,2.141683,2.665963,2.081446,2.963511,0.46007,0.772814,0.56228
3,3,compute_intensive,14.145021,4.090211,2.810699,2.628005,3.883683,0.555989,0.752077,0.975309
4,3,compute_intensive,19.751468,1.890764,2.578603,2.592194,2.869003,0.60275,0.725646,0.668862
5,1,compute_intensive,19.388034,3.927482,1.571609,2.341421,4.689032,0.930523,0.793086,0.566276
6,17,compute_intensive,15.344067,3.715696,2.106012,2.859619,3.158764,0.652305,0.690388,0.635227
7,16,data_intensive,34.407333,1.653729,4.377421,4.647451,2.356466,0.830608,0.539948,1.374853
8,17,compute_intensive,14.288707,2.183033,1.854916,2.133922,4.025234,0.47747,0.882436,0.66914
9,4,compute_intensive,9.926433,1.823645,1.522521,2.359547,5.083232,0.612768,0.77978,0.511761
10,13,compute_intensive,20.211252,4.458997,2.134447,2.205973,4.6099,0.902351,0.747958,0.855625
11,12,data_intensive,48.436572,1.627843,3.697475,3.860586,3.752487,0.772083,0.5604,0.918302
12,0,realtime_sensitive,5.38904,1.28025,0.453792,0.908893,1.030021,0.90671,0.924423,0.13211
13,2,data_intensive,49.293249,1.567726,2.61062,3.748623,2.895296,0.415769,0.744437,1.106583
14,8,lightweight,4.493121,0.319242,1.842937,1.951012,0.80214,0.563737,0.538108,0.487006
15,3,realtime_sensitive,11.185694,1.088168,0.661181,0.820205,2.234819,0.720311,0.957855,0.266485
16,13,realtime_sensitive,12.869927,1.437902,0.974797,0.941818,1.762467,0.928778,0.813559,0.230195
17,15,compute_intensive,29.191094,4.186386,1.880065,2.082152,5.311218,0.874371,0.834465,0.948202
18,8,compute_intensive,25.042121,4.06923,2.489056,2.455269,4.903557,0.814071,0.652627,0.90052
19,6,lightweight,2.546554,0.461897,1.630322,1.536077,0.681294,0.89632,0.56652,0.531146
20,15,compute_intensive,21.665962,3.714825,1.791984,2.469329,5.019172,0.515421,0.619262,0.740208
21,8,lightweight,0.772875,0.118299,1.524389,1.973498,1.166363,0.734044,0.616529,0.31809
22,2,lightweight,2.47822,0.414175,1.742344,1.707892,0.544656,0.502744,0.684858,0.429286
23,8,compute_intensive,15.138501,4.054885,2.302007,2.476313,5.958832,0.60115,0.669297,0.572095
24,12,realtime_sensitive,3.977488,1.564346,0.353302,0.943181,2.960391,0.635747,0.885169,0.238183
25,5,realtime_sensitive,14.171933,1.014825,0.648456,0.845458,2.947733,0.964054,0.909402,0.111243
26,3,data_intensive,70.524998,1.292184,2.706645,4.086427,3.903084,0.640247,0.596068,0.818204
27,16,data_intensive,80.896435,1.262728,3.166371,3.193783,4.838483,0.552727,0.71328,1.16659
28,6,lightweight,1.841188,0.493788,1.04057,1.732914,0.823601,0.884987,0.552479,0.480235
29,1,realtime_sensitive,12.956367,1.56237,0.469309,0.622483,1.578439,0.800944,0.876596,0.209825
30,12,realtime_sensitive,13.332673,0.719574,0.912203,0.719896,2.310536,0.836094,0.912571,0.268901
31,14,realtime_sensitive,9.464965,1.055915,0.621906,0.609197,1.066293,0.745328,0.892776,0.269889
32,9,compute_intensive,8.34437,1.998394,1.894824,2.593483,5.783125,0.807046,0.648798,0.529291
33,12,realtime_sensitive,6.957009,1.282646,0.422287,0.523229,1.060728,0.604161,0.865682,0.24532
34,8,data_intensive,70.949156,2.074346,4.372544,3.764966,2.943229,0.473014,0.621648,0.943428
35,15,realtime_sensitive,12.182931,1.459677,0.381403,0.835104,1.884603,0.894942,0.878394,0.125212
36,2,lightweight,1.334179,0.160225,1.741503,1.800049,1.718258,0.980607,0.415166,0.461674
37,17,realtime_sensitive,7.89887,1.348916,0.438076,0.652728,2.032469,0.72326,0.810615,0.19586
38,13,data_intensive,65.382867,1.488655,4.162068,3.92079,4.834965,0.552836,0.626435,1.496707
39,0,compute_intensive,9.111145,4.375471,2.762401,2.285201,3.785912,0.946046,0.675504,0.605053
