run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,hard_feasible,capacity_utilisation_mean,capacity_utilisation_max,assignment_unique,runtime,nfe,pre_refinement_fitness,local_refinement_gain,experiment,setting,description,weights,w_energy,w_delay,w_aoi,w_qoe,w_fairness
1,20260701,RDHO,1.108568434106899,0.7585684341068993,0.35,3.908568434106899,74.82231000942322,2.077367767445099,2.3703445268382586,0.4055901929117499,0.8981469852203793,0.65,1,0.8388950572562454,1.0000000000000002,1,7.620766874999999,10232,1.1934487678324863,0.0848803337255872,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
2,20260702,RDHO,1.042971259370508,0.7096379260371747,0.3333333333333333,3.7096379260371752,92.5467289252826,1.9317343032317391,2.2435325542327496,0.4252411484102329,0.9438029302531644,0.6666666666666666,1,0.8642210038280658,1.0,1,7.494374916,10232,1.0687336254960704,0.0257623661255623,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
3,20260703,RDHO,0.8308932791007381,0.6058932791007381,0.2249999999999999,2.630893279100738,58.63362486904609,1.6168846317221417,1.945406297403932,0.473792513367565,0.9356745123851102,0.775,1,0.7968452417119734,1.0000000000000002,1,7.6512298749999985,10232,0.9452257287509116,0.1143324496501736,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
4,20260704,RDHO,0.7792937629223804,0.5792937629223804,0.1999999999999999,2.37929376292238,84.79412936476712,1.8721399375022765,2.206859163545623,0.4834352409538747,0.9357058092379048,0.8,1,0.8572469003486489,1.0000000000000002,1,7.665651874999998,10232,0.8092318472328736,0.0299380843104931,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
5,20260705,RDHO,0.9383155996253232,0.65498226629199,0.2833333333333333,3.2049822662919896,93.53624100457512,2.038689261679705,2.377739952181744,0.4359456288266753,0.9277532731591402,0.7166666666666667,1,0.819792756438706,1.0000000000000002,1,8.027839375,10232,0.9784161568099428,0.0401005571846194,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
6,20260706,RDHO,0.99676381013413,0.7134304768007967,0.2833333333333333,3.2634304768007967,99.48863903818724,1.8484317925132845,2.166708667232005,0.4241327295155524,0.9287150965213892,0.7166666666666667,1,0.8235622549285625,1.0000000000000002,1,7.902750124999997,10232,1.0461641934022687,0.0494003832681386,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
7,20260707,RDHO,1.1458476235507842,0.7875142902174509,0.3583333333333333,4.01251429021745,77.39625890994373,2.5124774419991063,2.846511381589038,0.4084501701463391,0.9123796205695444,0.6416666666666667,1,0.7880416488185666,1.0,1,7.793199249999994,10232,1.2196850813194904,0.0738374577687062,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
8,20260708,RDHO,1.024393291400052,0.6993932914000521,0.3249999999999999,3.624393291400052,83.58764787814688,2.0614622704390517,2.3815677705201743,0.4283301329435506,0.9359433004822648,0.675,1,0.8273141573584951,1.0000000000000002,1,7.984349417000004,10232,1.0619731012072533,0.0375798098072013,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
9,20260709,RDHO,0.8998726704889334,0.6582060038222667,0.2416666666666667,2.833206003822267,123.1969786819626,1.7369778982217468,2.081494141464744,0.4585189896617808,0.9454807093712666,0.7583333333333333,1,0.7772485003183004,1.0000000000000002,1,7.874459999999999,10232,0.907539621912801,0.0076669514238676,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
10,20260710,RDHO,1.0050386449966089,0.6883719783299422,0.3166666666666666,3.538371978329942,113.71442453112336,1.7179993629198882,1.9999360228063072,0.4303061930099098,0.9021348804980855,0.6833333333333333,1,0.867509119261818,1.0000000000000002,1,8.097397458000003,10232,1.0401511687528897,0.0351125237562808,objective_weight,S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25
